路線,路線名稱,站序,中文站點名稱,經度,緯度,去回,英文站點名稱
300,靜宜大學 - 臺中火車站 - 靜宜大學,7,中正國小,120.668191,24.152329,回程,Chung-Cheng Elementary School
300,靜宜大學 - 臺中火車站 - 靜宜大學,8,科博館,120.663188,24.155167,回程,National Museum of Natural Science
300,靜宜大學 - 臺中火車站 - 靜宜大學,9,忠明國小,120.659194,24.157481,回程,Chungming Elementary School
300,靜宜大學 - 臺中火車站 - 靜宜大學,10,頂何厝,120.65632,24.15928167,回程,Dinghecuo
300,靜宜大學 - 臺中火車站 - 靜宜大學,11,市政府,120.648774,24.163207,回程,Taichung City Hall
300,靜宜大學 - 臺中火車站 - 靜宜大學,12,新光/遠百,120.644135,24.165774,回程,Shin Kong Mitsukoshi/Top City Dept. Store
300,靜宜大學 - 臺中火車站 - 靜宜大學,13,秋紅谷,120.639691,24.168639,回程,Maple Valley Park
300,靜宜大學 - 臺中火車站 - 靜宜大學,14,福安,120.62337,24.179203,回程,Fu-an
300,靜宜大學 - 臺中火車站 - 靜宜大學,15,中港新城,120.620172,24.180787,回程,Zhonggang New Community
300,靜宜大學 - 臺中火車站 - 靜宜大學,16,澄清醫院,120.616751,24.182479,回程,Cheng Ching Hospital
300,靜宜大學 - 臺中火車站 - 靜宜大學,17,玉門路,120.610319,24.18442,回程,Yumen Rd.
300,靜宜大學 - 臺中火車站 - 靜宜大學,18,榮總/東海大學,120.60293,24.182962,回程,Taichung Veterans General Hospital/Tunghai Uni.
300,靜宜大學 - 臺中火車站 - 靜宜大學,19,東海別墅,120.593443,24.182956,回程,Donghai Villa
300,靜宜大學 - 臺中火車站 - 靜宜大學,20,坪頂,120.5860341,24.18599596,回程,Pingding
300,靜宜大學 - 臺中火車站 - 靜宜大學,21,正英路,120.581489,24.209524,回程,Zhengying Rd.
300,靜宜大學 - 臺中火車站 - 靜宜大學,22,弘光科技大學,120.580555,24.217024,回程,Hungkuang University
300,靜宜大學 - 臺中火車站 - 靜宜大學,23,晉江寮,120.579696,24.221234,回程,Jinjiangliao
300,靜宜大學 - 臺中火車站 - 靜宜大學,24,靜宜大學,120.577026,24.22553,回程,Providence University
301,靜宜大學-新民高中,1,靜宜大學,120.5767429,24.22576437,去程,Providence University
301,靜宜大學-新民高中,2,晉江寮,120.579107,24.221884,去程,Jinjiangliao
301,靜宜大學-新民高中,3,弘光科技大學,120.580384,24.217273,去程,Hungkuang University
301,靜宜大學-新民高中,4,正英路,120.581296,24.209876,去程,Zhengying Rd.
301,靜宜大學-新民高中,5,坪頂,120.585339,24.18617,去程,Pingding
301,靜宜大學-新民高中,6,東海別墅,120.593501,24.1827,去程,Donghai Villa
301,靜宜大學-新民高中,7,榮總/東海大學,120.603586,24.182891,去程,Taichung Veterans General Hospital/Tunghai Uni.
301,靜宜大學-新民高中,8,玉門路,120.610319,24.18442,去程,Yumen Rd.
301,靜宜大學-新民高中,9,澄清醫院,120.617198,24.182043,去程,Cheng Ching Hospital
301,靜宜大學-新民高中,10,中港新城,120.6195602,24.18121338,去程,Zhonggang New Community
301,靜宜大學-新民高中,11,福安,120.62337,24.179203,去程,Fu-an
301,靜宜大學-新民高中,12,秋紅谷,120.639691,24.168639,去程,Maple Valley Park
301,靜宜大學-新民高中,13,新光/遠百,120.643356,24.165829,去程,Shin Kong Mitsukoshi/Top City Dept. Store
301,靜宜大學-新民高中,14,市政府,120.6492,24.1629,去程,Taichung City Hall
301,靜宜大學-新民高中,15,頂何厝,120.655864,24.159149,去程,Dinghecuo
301,靜宜大學-新民高中,16,忠明國小,120.659237,24.157285,去程,Chungming Elementary School
301,靜宜大學-新民高中,17,科博館,120.663188,24.155167,去程,National Museum of Natural Science
301,靜宜大學-新民高中,18,中正國小,120.667208,24.152746,去程,Chung-Cheng Elementary School
301,靜宜大學-新民高中,19,茄苳腳,120.671574,24.149241,去程,Qiedongjiao
301,靜宜大學-新民高中,20,臺灣大道原子街口,120.6746267,24.146705,去程,Taiwan Boulevard-Yuanzi Intersection
301,靜宜大學-新民高中,21,臺灣大道中華路口,120.6766567,24.14472,去程,Taiwan Boulevard-Zhonghua Intersection
301,靜宜大學-新民高中,22,仁愛醫院,120.678216,24.143662,去程,Ren-Ai Hospital
301,靜宜大學-新民高中,23,第二市場(臺灣大道),120.680085,24.14197833,去程,2nd Market (Taiwan Boulevard)
301,靜宜大學-新民高中,24,彰化銀行(臺灣大道),120.682535,24.139985,去程,Chang Hwa Bank (Taiwan Boulevard)
301,靜宜大學-新民高中,25,第一廣場,120.683578,24.138967,去程,First Square
301,靜宜大學-新民高中,26,干城站,120.686055,24.14092667,去程,Gancheng Station
301,靜宜大學-新民高中,27,臺中公園(雙十路),120.686145,24.14400167,去程,Taichung Park (Shuangshi Rd.)
301,靜宜大學-新民高中,28,中興堂,120.684481,24.146258,去程,Chunghsing Hall
301,靜宜大學-新民高中,29,國立臺中科技大學,120.684035,24.14956167,去程,NTCUST
301,靜宜大學-新民高中,30,中友百貨,120.68517,24.15242833,去程,Chungyo Department Store
301,靜宜大學-新民高中,31,市立殯儀館,120.6856417,24.15630333,去程,City Funeral Home
301,靜宜大學-新民高中,32,新民高中(健行路),120.6873572,24.15897102,去程,Shin-min H.S. (Jianxing Rd.)
301,靜宜大學-新民高中,1,新民高中(健行路),120.6873572,24.15897102,回程,Shin-min H.S. (Jianxing Rd.)
301,靜宜大學-新民高中,2,寶覺寺,120.689885,24.15803833,回程,Baojue Temple
301,靜宜大學-新民高中,3,新民高中(三民路),120.6884833,24.15678667,回程,Shin-min H.S. (Sanmin Rd.)
301,靜宜大學-新民高中,4,一心市場,120.68573,24.15389,回程,Yixin Market
301,靜宜大學-新民高中,5,中友百貨,120.6847817,24.15172167,回程,Chungyo Department Store
301,靜宜大學-新民高中,6,國立臺中科技大學,120.6840333,24.14954333,回程,NTCUST
301,靜宜大學-新民高中,7,中興堂,120.684631,24.146209,回程,Chunghsing Hall
301,靜宜大學-新民高中,8,臺中公園(雙十路),120.6858583,24.144225,回程,Taichung Park (Shuangshi Rd.)
301,靜宜大學-新民高中,9,干城站,120.685755,24.1418,回程,Gancheng Station
301,靜宜大學-新民高中,10,臺中火車站,120.684496,24.138026,回程,Taichung Railway Station
301,靜宜大學-新民高中,11,第一廣場,120.683578,24.138967,回程,First Square
301,靜宜大學-新民高中,12,彰化銀行(臺灣大道),120.682535,24.139985,回程,Chang Hwa Bank (Taiwan Boulevard)
301,靜宜大學-新民高中,13,第二市場(臺灣大道),120.680085,24.14197833,回程,2nd Market (Taiwan Boulevard)
301,靜宜大學-新民高中,14,仁愛醫院,120.678216,24.143662,回程,Ren-Ai Hospital
301,靜宜大學-新民高中,15,臺灣大道中華路口,120.6766567,24.14472,回程,Taiwan Boulevard-Zhonghua Intersection
301,靜宜大學-新民高中,16,臺灣大道原子街口,120.6746267,24.146705,回程,Taiwan Boulevard-Yuanzi Intersection
301,靜宜大學-新民高中,17,茄苳腳,120.670966,24.15001,回程,Qiedongjiao
301,靜宜大學-新民高中,18,中正國小,120.668191,24.152329,回程,Chung-Cheng Elementary School
301,靜宜大學-新民高中,19,科博館,120.663188,24.155167,回程,National Museum of Natural Science
301,靜宜大學-新民高中,20,忠明國小,120.659194,24.157481,回程,Chungming Elementary School
301,靜宜大學-新民高中,21,頂何厝,120.65632,24.15928167,回程,Dinghecuo
301,靜宜大學-新民高中,22,市政府,120.648774,24.163207,回程,Taichung City Hall
301,靜宜大學-新民高中,23,新光/遠百,120.644135,24.165774,回程,Shin Kong Mitsukoshi/Top City Dept. Store
301,靜宜大學-新民高中,24,秋紅谷,120.639691,24.168639,回程,Maple Valley Park
301,靜宜大學-新民高中,25,福安,120.62337,24.179203,回程,Fu-an
301,靜宜大學-新民高中,26,中港新城,120.620172,24.180787,回程,Zhonggang New Community
301,靜宜大學-新民高中,27,澄清醫院,120.616751,24.182479,回程,Cheng Ching Hospital
301,靜宜大學-新民高中,28,玉門路,120.610319,24.18442,回程,Yumen Rd.
301,靜宜大學-新民高中,29,榮總/東海大學,120.60293,24.182962,回程,Taichung Veterans General Hospital/Tunghai Uni.
301,靜宜大學-新民高中,30,東海別墅,120.593443,24.182956,回程,Donghai Villa
301,靜宜大學-新民高中,31,坪頂,120.5860341,24.18599596,回程,Pingding
301,靜宜大學-新民高中,32,正英路,120.581489,24.209524,回程,Zhengying Rd.
301,靜宜大學-新民高中,33,弘光科技大學,120.580555,24.217024,回程,Hungkuang University
301,靜宜大學-新民高中,34,晉江寮,120.579696,24.221234,回程,Jinjiangliao
301,靜宜大學-新民高中,35,靜宜大學,120.577026,24.22553,回程,Providence University
302,臺中國際機場-臺中公園,1,臺中國際機場,120.598994,24.253475,去程,Taichung Airport
302,臺中國際機場-臺中公園,2,西勢寮,120.59626,24.250267,去程,Xishiliao
302,臺中國際機場-臺中公園,3,犁份,120.571178,24.242038,去程,Lifen
302,臺中國際機場-臺中公園,4,竹林里,120.5701232,24.23617413,去程,Chulin Village
302,臺中國際機場-臺中公園,5,紅竹巷,120.5719793,24.23324892,去程,Hongzhu Ln.
302,臺中國際機場-臺中公園,6,臺灣大道北勢路口,120.5740821,24.23009862,去程,Taiwan Boulevard-Beishi Rd. Intersection
302,臺中國際機場-臺中公園,7,靜宜大學,120.5767429,24.22576437,去程,Providence University
302,臺中國際機場-臺中公園,8,晉江寮,120.579107,24.221884,去程,Jinjiangliao
302,臺中國際機場-臺中公園,9,弘光科技大學,120.580384,24.217273,去程,Hungkuang University
302,臺中國際機場-臺中公園,10,正英路,120.581296,24.209876,去程,Zhengying Rd.
302,臺中國際機場-臺中公園,11,坪頂,120.585339,24.18617,去程,Pingding
302,臺中國際機場-臺中公園,12,東海別墅,120.593501,24.1827,去程,Donghai Villa
302,臺中國際機場-臺中公園,13,榮總/東海大學,120.603586,24.182891,去程,Taichung Veterans General Hospital/Tunghai Uni.
302,臺中國際機場-臺中公園,14,玉門路,120.610319,24.18442,去程,Yumen Rd.
302,臺中國際機場-臺中公園,15,澄清醫院,120.617198,24.182043,去程,Cheng Ching Hospital
302,臺中國際機場-臺中公園,16,中港新城,120.6195602,24.18121338,去程,Zhonggang New Community
302,臺中國際機場-臺中公園,17,福安,120.62337,24.179203,去程,Fu-an
302,臺中國際機場-臺中公園,18,秋紅谷,120.639691,24.168639,去程,Maple Valley Park
302,臺中國際機場-臺中公園,19,新光/遠百,120.643356,24.165829,去程,Shin Kong Mitsukoshi/Top City Dept. Store
302,臺中國際機場-臺中公園,20,市政府,120.6492,24.1629,去程,Taichung City Hall
302,臺中國際機場-臺中公園,21,頂何厝,120.655864,24.159149,去程,Dinghecuo
302,臺中國際機場-臺中公園,22,忠明國小,120.659237,24.157285,去程,Chungming Elementary School
302,臺中國際機場-臺中公園,23,科博館,120.663188,24.155167,去程,National Museum of Natural Science
302,臺中國際機場-臺中公園,24,中正國小,120.667208,24.152746,去程,Chung-Cheng Elementary School
302,臺中國際機場-臺中公園,25,茄苳腳,120.671574,24.149241,去程,Qiedongjiao
302,臺中國際機場-臺中公園,26,臺灣大道原子街口,120.6746267,24.146705,去程,Taiwan Boulevard-Yuanzi Intersection
302,臺中國際機場-臺中公園,27,臺灣大道中華路口,120.6766567,24.14472,去程,Taiwan Boulevard-Zhonghua Intersection
302,臺中國際機場-臺中公園,28,仁愛醫院,120.678216,24.143662,去程,Ren-Ai Hospital
302,臺中國際機場-臺中公園,29,第二市場(臺灣大道),120.680085,24.14197833,去程,2nd Market (Taiwan Boulevard)
302,臺中國際機場-臺中公園,30,彰化銀行(臺灣大道),120.682535,24.139985,去程,Chang Hwa Bank (Taiwan Boulevard)
302,臺中國際機場-臺中公園,31,第一廣場,120.683578,24.138967,去程,First Square
302,臺中國際機場-臺中公園,32,干城站,120.6857586,24.14086963,去程,Gancheng Station
302,臺中國際機場-臺中公園,33,臺中公園(雙十路),120.686059,24.1441592,去程,Taichung Park (Shuangshi Rd.)
302,臺中國際機場-臺中公園,1,臺中公園(雙十路),120.686059,24.1441592,回程,Taichung Park (Shuangshi Rd.)
302,臺中國際機場-臺中公園,2,干城站,120.6857586,24.14086963,回程,Gancheng Station
302,臺中國際機場-臺中公園,3,臺中火車站,120.684496,24.138026,回程,Taichung Railway Station
302,臺中國際機場-臺中公園,4,第一廣場,120.683578,24.138967,回程,First Square
302,臺中國際機場-臺中公園,5,彰化銀行(臺灣大道),120.682535,24.139985,回程,Chang Hwa Bank (Taiwan Boulevard)
302,臺中國際機場-臺中公園,6,第二市場(臺灣大道),120.680085,24.14197833,回程,2nd Market (Taiwan Boulevard)
302,臺中國際機場-臺中公園,7,仁愛醫院,120.678216,24.143662,回程,Ren-Ai Hospital
302,臺中國際機場-臺中公園,8,臺灣大道中華路口,120.6766567,24.14472,回程,Taiwan Boulevard-Zhonghua Intersection
302,臺中國際機場-臺中公園,9,臺灣大道原子街口,120.6746267,24.146705,回程,Taiwan Boulevard-Yuanzi Intersection
302,臺中國際機場-臺中公園,10,茄苳腳,120.670966,24.15001,回程,Qiedongjiao
302,臺中國際機場-臺中公園,11,中正國小,120.668191,24.152329,回程,Chung-Cheng Elementary School
302,臺中國際機場-臺中公園,12,科博館,120.663188,24.155167,回程,National Museum of Natural Science
302,臺中國際機場-臺中公園,13,忠明國小,120.659194,24.157481,回程,Chungming Elementary School
302,臺中國際機場-臺中公園,14,頂何厝,120.65632,24.15928167,回程,Dinghecuo
302,臺中國際機場-臺中公園,15,市政府,120.648774,24.163207,回程,Taichung City Hall
302,臺中國際機場-臺中公園,16,新光/遠百,120.644135,24.165774,回程,Shin Kong Mitsukoshi/Top City Dept. Store
302,臺中國際機場-臺中公園,17,秋紅谷,120.639691,24.168639,回程,Maple Valley Park
302,臺中國際機場-臺中公園,18,福安,120.62337,24.179203,回程,Fu-an
302,臺中國際機場-臺中公園,19,中港新城,120.620172,24.180787,回程,Zhonggang New Community
302,臺中國際機場-臺中公園,20,澄清醫院,120.616751,24.182479,回程,Cheng Ching Hospital
302,臺中國際機場-臺中公園,21,玉門路,120.610319,24.18442,回程,Yumen Rd.
302,臺中國際機場-臺中公園,22,榮總/東海大學,120.60293,24.182962,回程,Taichung Veterans General Hospital/Tunghai Uni.
302,臺中國際機場-臺中公園,23,東海別墅,120.593443,24.182956,回程,Donghai Villa
302,臺中國際機場-臺中公園,24,坪頂,120.5860341,24.18599596,回程,Pingding
302,臺中國際機場-臺中公園,25,正英路,120.581489,24.209524,回程,Zhengying Rd.
302,臺中國際機場-臺中公園,26,弘光科技大學,120.580555,24.217024,回程,Hungkuang University
302,臺中國際機場-臺中公園,27,晉江寮,120.579696,24.221234,回程,Jinjiangliao
302,臺中國際機場-臺中公園,28,靜宜大學,120.577026,24.22553,回程,Providence University
302,臺中國際機場-臺中公園,29,臺灣大道北勢路口,120.5740821,24.23009862,回程,Taiwan Boulevard-Beishi Rd. Intersection
302,臺中國際機場-臺中公園,30,紅竹巷,120.5719793,24.23324892,回程,Hongzhu Ln.
302,臺中國際機場-臺中公園,31,竹林里,120.5701232,24.23617413,回程,Chulin Village
302,臺中國際機場-臺中公園,32,犁份,120.571178,24.242038,回程,Lifen
302,臺中國際機場-臺中公園,33,臺中國際機場,120.598994,24.253475,回程,Taichung Airport
303,港區藝術中心-新民高中,1,港區藝術中心(鎮政路),120.557553,24.269354,去程,Seaport Art Center(Zhenzheng Rd.)
303,港區藝術中心-新民高中,2,清水區公所(鎮政路),120.56006,24.268593,去程,Qingshui District Office
303,港區藝術中心-新民高中,3,清水國中,120.56271,24.26778,去程,Ching-Shuei J.H.S.
303,港區藝術中心-新民高中,4,銀聯二村,120.5648,24.26832,去程,Yinlian 2nd Village
303,港區藝術中心-新民高中,5,社口,120.56825,24.26845,去程,Shekou
303,港區藝術中心-新民高中,6,鰲峰西社路口,120.57004,24.26923,去程,Xishe Rd. Intersection
303,港區藝術中心-新民高中,7,分局前,120.57531,24.26919,去程,Front Police Station
303,港區藝術中心-新民高中,8,華南銀行(清水分行),120.575155,24.268303,去程,Hua-Nan Commercial Bank(Qingshui Branch)
303,港區藝術中心-新民高中,9,清水高中(中山路),120.57421,24.26615,去程,Qingshui H. S.( Zhongshan Rd.)
303,港區藝術中心-新民高中,10,清水火車站(中山路),120.572623,24.262139,去程,Qingshui Station (Zhongshan Rd.)
303,港區藝術中心-新民高中,11,中山星河路口,120.5714,24.259974,去程,Zhongshan-Xinghe Intersection
